plot_number,Site,Treatment,pair_number,Date_installed,Collection_date,Analyzers,Total collembola,Araneae_other,Entomobryomorpha,Poduromorpha,Symphypleona,Formicidae,Isopoda,Amphipoda,Grylidae,Anostostomatidae,Forfuculidae,Achilidae,Blattidae,Phoridae,Sciaridae,Staphilinidae,Curculionidae,Cerambycidae,Elateridae,Carabidae,Mordelidae,Nitidulidae,Tettrigidae,Drosophilidae,Muscidae,Dolicopodidae,Tupilidae,Eucharitidae,Mycetophilidae,Sphaeroceridae,Cecidomyiidae,Cynipidae,Ectopsocidae,Mymaridae,Saldidae,Ceraphronidae,Psycodidae,Bethylidae,Thripidae,Ichneumonidae,Apidae,Tiphiidae,Caeciliusidae,Proctotrupidae,Acari,Cercopidae,Ceratopogonidae,Meinertellidae,Cryptophagidae,Chrysomelidae,Elateridae,Histeridae,Erebidae,Nictuidae,Crambidae,Geometridae,Caterpillars,Empididae,Cercopidae,Myrmeleontidae,Cicadellidae,Reduviidae,Kalotermitidae,Culusidae,Smulidae,Stratiomidae,Tephritidae,Diaprudae,Faniidae,Syrphidae,Eupelmidae,Bostrichidae,Phasmantidae,Total_abundance
G1,Talatakely,G,1,6/11/24,6/19/24,"Emile, Rinah, Kerry",11,4,8,,3,,,,3,,,,3,10,,1,,,,,,,,10,5,15,6,,18,40,5,,,,,,,,,,,,,,7,,,,1,2,,,2,,,,3,,,,,,,,,,,,,,,,,157
NG1,Talatakely,NG,1,6/11/24,6/19/24,"Emile, Rinah, Kerry",39,,22,16,1,5,,,8,,,,1,16,52,2,1,,,1,,1,4,9,9,2,7,,13,18,4,18,,18,9,,,2,1,10,,,,8,,,3,2,,3,,,,,,,7,8,,,,,,,,,,,,,,,,320
G2,Talatakely,G,2,7/12/24,7/18/24,"Rinah, Kerry",59,2,53,,6,1,,,2,,,,,14,,1,1,,,1,,,,5,3,,3,,,17,17,,,,,,3,,,3,,,,13,,,,,,2,,,8,,,,,,,1,1,,,,,,,,,,,,,216
NG2,Talatakely,NG,2,7/12/24,7/18/24,"Rinah, Kerry",68,,68,,,,,,5,,,,,23,36,,,,,,,,1,24,,,1,,12,,18,,,6,,3,4,5,,8,,,,,,,,,,,,,,,,,,1,,,,,,6,8,1,1,12,,,,,,311
G3,Talatakely,G,3,7/18/24,7/24/24,"Rinah, Kerry",105,,103,,2,2,,,2,,,,,28,,,,,,1,,,,30,6,11,6,,16,2,22,3,,6,,2,,,1,1,,1,,2,,,,,,1,,1,,4,,2,,1,,,,,,5,1,,,,3,,,,,370
NG3,Talatakely,NG,3,7/18/24,7/24/24,"Rinah, Kerry",73,,73,,,,,,3,,,,,22,26,,,,,1,1,,1,45,9,,9,,16,5,15,,,4,,,6,,,12,,,,8,,,,,,2,1,,,,,,,3,,,1,,,,,,,,,,,,,336
G4,Talatakely,G,4,7/24/24,7/30/24,"Rinah, Kerry, Emile",51,,38,,13,3,,,2,,,,,19,28,,1,,,,,,,14,,,1,,17,,6,,,7,,4,3,2,1,5,1,,,6,,,,,,4,,,,1,1,,,,,,3,1,2,,,,,,,,,,,234
NG4,Talatakely,NG,4,7/24/24,7/30/24,"Rinah, Kerry, Emile",64,,64,,,3,,,2,,1,,,15,32,,,1,,,,,1,23,16,4,6,,21,,27,,3,8,,2,,4,1,,1,,,,,5,,1,2,7,,1,12,,,,,2,,,,1,,,,,,,,,,,,330
G5,Vohiparara,G,5,8/13/24,8/19/24,"Rinah, Kerry, Emile",77,1,58,9,10,,,,6,1,,,,73,,,,,,1,,,1,15,,,4,,8,,12,,,6,,,,5,,16,,,,,,,,,,2,,,1,3,,,,,,,,,,,,,,,,4,,,,313
NG5,Vohiparara,NG,5,8/13/24,8/19/24,"Rinah, Kerry, Emile",202,3,196,,6,2,,,,,,,,43,11,,,1,,,,,1,7,,,,,5,,4,,,4,,3,,,,1,,,,,,,,,,6,3,,3,,,,2,1,,,,1,1,,,,,,,,,,3,509
G6,Vohiparara,G,6,8/6/24,8/13/24,"Rinah, Kerry, Emile",39,1,39,,,2,,,7,,,,,14,61,1,1,,,,,2,2,17,3,,2,,13,,19,,,2,,1,,,,8,,,,3,1,,,1,,3,,,,,,2,,3,,,,,,,6,,,6,,,,1,,260
NG6,Vohiparara,NG,6,8/6/24,8/13/24,"Rinah, Kerry, Emile",49,,49,,,,,,2,,,,,5,53,,,,,2,,,,12,2,,4,,16,,22,,,2,,3,3,3,,6,,,,5,,,,,,1,,,3,,,,6,2,,,,,,,1,,,4,,,,,,255
G7,Vohiparara,G,7,7/31/24,8/6/24,"Emile, Rinah, Kerry",35,1,32,,3,,,,6,,,,,31,56,,,,,,,,2,7,5,,1,,8,,15,,,2,,1,3,5,,6,,,,1,1,,,,,2,,,1,,,,6,1,,,,,,2,,,,10,,,3,,,246
NG7,Vohiparara,NG,7,7/31/24,8/6/24,"Rinah, Kerry, Emile",43,,25,,18,,,,,,,,,22,33,,,,,,2,1,1,5,3,,2,,15,6,11,,,6,,4,8,1,1,10,,,,1,,,,,,3,,,,,,,,,,,1,,,4,,,,3,,1,,,,230
G8,Vohiparara,G,8,6/20/24,6/25/24,"Emile, Rinah, Kerry",10,,5,2,3,1,,,1,,,,,3,59,,,,,,,1,4,17,3,,3,,42,,,,,,,,4,,,6,,,1,,1,,,,,2,,,5,,,,,3,,,,,,,,,,,,,,,,176
NG8,Vohiparara,NG,8,6/20/24,6/25/24,"Emile, Rinah, Kerry",26,,25,,1,1,,,1,,,,2,8,66,5,,,1,1,,,4,8,6,,9,3,11,1,1,11,,,,3,7,,,13,,,,8,,3,63,2,,5,,,,,,,3,2,2,,,,,,,,,,,,,,,302
