Trap,Site,Treatment,Pair_number,Plot_number,trap,Date_installed,Collection_date,days,Analyzers,Araneae_other,Entomobryomorpha,Poduromorpha,Symphypleona,Formicidae,Isopoda,Amphipoda,Acari,Gryllidae,Forfuculidae,Achilidae,Blattidae,Phoridae,Sciaridae,Ceraphronidae,Miridae,Staphilinidae,Bostrichidae,Mymaridae,Tettrigidae,Diapriidae,Proctotrupidae,Empididae,Tupilidae,Dolichopodidae,Eupelmidae,Mycetophilidae,Cryptophagidae,Sphaeroceridae,Ichneumonidae,Muscidae,Pentatomidae,Carabidae,Cecidomyiidae,Scarabaeidae,Meinertellidae,total_abundance
1GA,Talatakely,G,1,G1,A,6/11/24,6/19/24,8,"Emile,Rinah, Kerry",2,3,11,4,0,0,0,3,2,0,0,0,11,0,0,0,5,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,1,50
1GB,Talatakely,G,1,G1,B,6/11/24,6/19/24,8,"Emile,Rinah, Kerry",1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1GC,Talatakely,G,1,G1,C,6/11/24,6/19/24,8,"Emile,Rinah, Kerry",5,5,1,3,4,0,8,0,3,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
1GD,Talatakely,G,1,G1,D,6/11/24,6/19/24,8,"Emile,Rinah, Kerry",4,3,1,4,8,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
1GE,Talatakely,G,1,G1,E,6/11/24,6/19/24,8,"Emile,Rinah, Kerry",4,4,2,2,9,0,0,0,0,0,0,1,13,0,1,3,10,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53
1NGA,Talatakely,NG,1,NG1,A,6/11/24,6/19/24,8,"Emile,Rinah, Kerry",1,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9
1NGB,Talatakely,NG,1,NG1,B,6/11/24,6/19/24,8,"Emile,Rinah, Kerry",2,2,0,0,2,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
1NGC,Talatakely,NG,1,NG1,C,6/11/24,6/19/24,8,"Emile,Rinah, Kerry",2,3,2,4,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,25
1NGD,Talatakely,NG,1,NG1,D,6/11/24,6/19/24,8,"Emile,Rinah, Kerry",0,4,0,3,3,0,0,3,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,23
1NGE,Talatakely,NG,1,NG1,E,6/11/24,6/19/24,8,"Emile,Rinah, Kerry",2,3,5,0,3,0,0,3,2,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25
