TrapID,Site,Pair_number,Treatment,Plot_number,trap,Date_installed,Collection_date,Days,Analyzer,Notes,Salticidae,Staphylinidae,Entomobryomorpha,Poduromorpha,Symphypleona,Oribatida,Mesostigmata,Prostigmata,Formicidae,Amphipods,Cynipidae (hymenopt-asked scott to ID),Mymaridae (hymenoptera),Meinertellidae (thysanura),Typilidae,Mycetophilidae,Phoridae (dipt),Sciaridae,Asteridae,Chrysomelidae (coleop),Dolichpodidae (dip),cecidomyidae (dip),Empididae,Eupelmidae (hymenopt),Kinnaridae (Himiptera),Braconidae (hymenop),Muscidae (dipt),Tephritidae,Diopsidae (Dipt- stalk eyed flies),Drosophilidae (dipt),Faniidae (dipt),Culicidae (dipt- mosquitos),Psychodidae (dipt),Gryllidae (orthoptera),Sphaeroceridae (dipt),Cicadellidae (orthopt),Ceraphronidae (hymenopt),Cixiidae (hemipt),Ichneumonidae (hymenopt),Scelionidae (hymenopt),Reduviidae (Hemipt),Diapriidae (hymenopt),Tetrigidae (orthoptera),Forficulidae (dermopt),Staphynlinidae (coleopt),Diptera family unknown,Anthocoridae,Total,Total Collembola
1GA,Talatakely,1,G,G1,A,6/11/24,6/19/24,8,"Emile, Kerry, Kathy, Amy",,1,0,9,14,15,2,1,2,0,0,1,2,1,3,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,38
1GB,Talatakely,1,G,G1,B,6/11/24,6/19/24,8,"Emile, Kerry, Kathy, Amy",,0,0,13,19,14,2,0,2,0,1,0,0,0,1,,8,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,46
1NGA,Talatakely,1,NG,NG1,A,6/11/24,6/19/24,8,"Emile, Kerry, Kathy, Amy",,0,0,7,4,10,1,1,0,0,0,0,0,0,0,,9,1,0,2,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,21
1NGB,Talatakely,1,NG,NG1,B,6/11/24,6/19/24,8,"Emile, Kerry, Kathy, Amy",,0,0,8,18,11,0,0,0,0,0,2,1,0,3,,1,5,0,1,3,0,0,0,0,0,12,0,3,1,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78,37
2GA,Talatakely,2,G,G2,A,6/12/24,6/19/24,7,"Emile, Kerry, Kathy, Amy",,0,0,18,20,11,3,0,0,1,0,0,1,0,0,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,65,49
2GB,Talatakely,2,G,G2,B,6/12/24,6/19/24,7,"Emile, Kerry, Kathy, Amy",,0,0,10,17,10,0,0,0,3,0,0,0,0,0,,17,5,0,0,0,0,0,0,0,0,6,0,0,1,7,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,87,37
2NGA,Talatakely,2,NG,NG2,A,6/12/24,6/19/24,7,"Emile, Kerry, Kathy, Amy",,0,0,32,18,6,0,0,0,1,0,1,0,0,1,,7,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72,56
2NGB,Talatakely,2,NG,NG2,B,6/12/24,6/19/24,7,"Emile, Kerry, Kathy, Amy",,0,0,17,18,4,0,0,0,0,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,39
3GA,Talatakely,3,G,G3,A,6/12/24,6/19/24,7,"Emile, Kerry, Kathy, Amy",,0,0,11,59,6,9,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0,0,0,6,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,110,76
3GB,Talatakely,3,G,G3,B,6/12/24,6/19/24,7,"Emile, Kerry, Kathy, Amy",,0,0,14,24,19,3,0,0,1,0,1,0,0,2,,1,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,74,57
3NGA,Talatakely,3,NG,NG3,A,6/12/24,6/19/24,7,"Emile, Kerry, Kathy, Amy",,0,0,43,24,25,2,0,0,2,0,8,1,0,0,,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,112,92
3NGB,Talatakely,3,NG,NG3,B,6/12/24,6/19/24,7,"Emile, Kerry, Kathy, Amy",,0,2,31,22,17,3,0,0,0,0,1,1,0,1,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,89,70
4GA,Talatakely,4,G,G4,A,6/12/24,6/19/24,7,"Emile, Kerry, Kathy, Amy",,0,0,37,39,38,0,0,0,0,0,4,0,1,0,0,10,2,0,0,2,0,0,0,0,0,0,0,0,14,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,151,114
4GB,Talatakely,4,G,G4,B,6/12/24,6/19/24,7,"Emile, Kerry, Kathy, Amy",,0,0,10,34,11,0,0,0,0,0,3,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,68,55
4NGA,Talatakely,4,NG,NG4,A,6/12/24,6/19/24,7,"Emile, Kerry, Kathy, Amy",,0,0,30,21,15,0,0,0,0,0,1,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74,66
4NGB,Talatakely,4,NG,NG4,B,6/12/24,6/19/24,7,"Emile, Kerry, Kathy, Amy",,0,0,16,6,4,2,0,1,0,0,1,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,26
5GA,Vohiparara,5,G,G5,A,6/13/24,6/20/24,7,"Emile, Kerry, Amy",,0,0,12,20,45,0,0,0,0,0,4,1,0,1,0,0,0,0,,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,94,77
5GB,Vohiparara,5,G,G5,B,6/13/24,6/20/24,7,"Emile, Kerry, Amy",,0,0,13,106,57,1,0,0,0,0,0,0,0,1,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,198,176
5NGA,Vohiparara,5,NG,NG5,A,6/13/24,6/20/24,7,"Emile, Kerry, Amy",,0,0,20,18,10,3,0,1,1,2,0,0,0,1,1,6,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,71,48
5NGB,Vohiparara,5,NG,NG5,B,6/13/24,6/20/24,7,"Emile, Kerry, Amy",THey forgot to count no-collembola inverts on this one/ collembola ok,,,24,55,24,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103
6GA,Vohiparara,6,G,G6,A,6/13/24,6/20/24,7,"Emile, Kerry, Amy",,0,0,9,30,2,1,0,0,1,0,2,2,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,41
