subplotid,Site,Pair,Treatment,plotnumber,seedlingplot,Date_surveyed,notes,Vilonanala(herbbamboograss),Velatra(herb),Velatrafoana(herb),Orchidae(herb),Vine_spp1,Guava,Foananasity,Apanga,Kalafambakaka,Tavelona(bamboo),Ranjopody,Mazambory,Rohilambo,Fanikara,Tsimbolovola(bamboo),Rahiaka,Hazotoho,Rotra,Hazomby,Ramilevina,Kimbaletaka,Voanananala,Tavolo,Totalstems,totalNONguava
1GA,Talatakely,1,G,1G,A,"45,458",,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1GB,Talatakely,1,G,1G,B,"45,458",,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
1GC,Talatakely,1,G,1G,C,"45,458",,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1GD,Talatakely,1,G,1G,D,"45,458",,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
1NGA,Talatakely,1,NG,1NG,A,"45,458",,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,6
1NGB,Talatakely,1,NG,1NG,B,"45,458",,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
1NGC,Talatakely,1,NG,1NG,C,"45,458",,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
1NGD,Talatakely,1,NG,1NG,D,"45,458",,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2GA,Talatakely,2,G,2G,A,"45,458",,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1
2GB,Talatakely,2,G,2G,B,"45,458",,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
2GC,Talatakely,2,G,2G,C,"45,458",,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,2
2GD,Talatakely,2,G,2G,D,"45,458",,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,4
2NGA,Talatakely,2,NG,2NG,A,"45,458",,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
