Site,Pair_number,Treatment,Ntotal,Carbon,Organic_matter,CN,P_avail,NH4,NO3
Talatakely,1,g,0.182,2.967,5.115,16,11.7,84.3,140.2
Talatakely,2,g,0.392,5.216,8.993,13,3,112.1,126.6
Talatakely,3,g,0.364,4.468,7.704,12,3.1,84.7,98.9
Talatakely,4,g,0.35,4.545,7.835,13,2.5,140.6,70.5
Vohiparara,5,g,1.47,26.767,46.146,18,41.1,294.5,308.8
Vohiparara,6,g,0.259,3.209,5.532,12,9.3,126.3,126.5
Vohiparara,7,g,0.343,5.127,8.839,15,8.9,126.8,56.3
Vohiparara,8,g,0.84,11.166,19.251,13,23.2,154.2,210.5
Talatakely,1,n,0.315,4.377,7.545,14,8.7,140.1,70.1
Talatakely,2,n,0.651,7.239,12.48,11,3.7,140.8,182.9
Talatakely,3,n,0.651,7.363,12.693,11,15.4,210.5,210.3
Talatakely,4,n,0.714,6.256,10.785,9,6.4,140.3,126.5
Vohiparara,5,n,1.568,32.726,56.42,21,48.6,224.4,210.2
Vohiparara,6,n,1.008,16.326,28.146,16,8.1,224.3,237.9
Vohiparara,7,n,0.483,6.538,11.271,14,10.6,182.1,182.2
Vohiparara,8,n,1.414,30.452,52.499,22,53.9,266.3,252
