subplotid,Site,Pair,Treatment,plotnumber,seedlingplot,Date_surveyed,notes,Guava,Foananasity,Apanga,Kalafambakaka,Ranjopody,Mazambory,Rohilambo,Fanikara,Rahiaka,Hazotoho,Rotra,Hazomby,Ramilevina,Kimbaletaka,Voanananala,Tavolo,Totalstems,totalguava,totalNONguava
1GA,Talatakely,1,G,1G,A,"45,458",,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
1GB,Talatakely,1,G,1G,B,"45,458",,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1
1GC,Talatakely,1,G,1G,C,"45,458",,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
1GD,Talatakely,1,G,1G,D,"45,458",,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0
1NGA,Talatakely,1,NG,1NG,A,"45,458",,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2
1NGB,Talatakely,1,NG,1NG,B,"45,458",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1NGC,Talatakely,1,NG,1NG,C,"45,458",,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
1NGD,Talatakely,1,NG,1NG,D,"45,458",,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2GA,Talatakely,2,G,2G,A,"45,458",,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,5,1
2GB,Talatakely,2,G,2G,B,"45,458",,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
2GC,Talatakely,2,G,2G,C,"45,458",,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1
2GD,Talatakely,2,G,2G,D,"45,458",,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,4,4
2NGA,Talatakely,2,NG,2NG,A,"45,458",,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
2NGB,Talatakely,2,NG,2NG,B,"45,458",,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1
2NGC,Talatakely,2,NG,2NG,C,"45,458",,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,4
2NGD,Talatakely,2,NG,2NG,D,"45,458",,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2
3GA,Talatakely,3,G,3G,A,"45,458",,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
3GB,Talatakely,3,G,3G,B,"45,458",,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0
3GC,Talatakely,3,G,3G,C,"45,458",,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,2,2
3GD,Talatakely,3,G,3G,D,"45,458",all dead seedlings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3NGA,Talatakely,3,NG,3NG,A,"45,458",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3NGB,Talatakely,3,NG,3NG,B,"45,458",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3NGC,Talatakely,3,NG,3NG,C,"45,458",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3NGD,Talatakely,3,NG,3NG,D,"45,458",,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1
4GA,Talatakely,4,G,4G,A,"45,458",,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,8,1
4GB,Talatakely,4,G,4G,B,"45,458",,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0
4GC,Talatakely,4,G,4G,C,"45,458",,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
4GD,Talatakely,4,G,4G,D,"45,458",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4NGA,Talatakely,4,NG,4NG,A,"45,458",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4NGB,Talatakely,4,NG,4NG,B,"45,458",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4NGC,Talatakely,4,NG,4NG,C,"45,458",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4NGD,Talatakely,4,NG,4NG,D,"45,458",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
5GA,Vohiparara,5,G,5G,A,"45,463",,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
5GB,Vohiparara,5,G,5G,B,"45,463",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GC,Vohiparara,5,G,5G,C,"45,463",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
5GD,Vohiparara,5,G,5G,D,"45,463",,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4,1
