Plot,Pair,Treatment,Araneae_other,Entomobryomorpha,Poduromorpha,Symphypleona,Formicidae,Isopoda,Amphipoda,Grylidae,Anostostomatidae,Forfuculidae,Achilidae,Blattidae,Phoridae,Sciaridae,Staphilinidae,Curculionidae,Cerambycidae,Elateridae,Carabidae,Mordelidae,Nitidulidae,Tettrigidae,Drosophilidae,Muscidae,Dolicopodidae,Tupilidae,Eucharitidae,Mycetophilidae,Sphaeroceridae,Cecidomyiidae,Cynipidae,Ectopsocidae,Mymaridae,Saldidae,Ceraphronidae,Psycodidae,Bethylidae,Thripidae,Ichneumonidae,Apidae,Tiphiidae,Caeciliusidae,Proctotrupidae,Acari,Cercopidae,Ceratopogonidae,Meinertellidae,Cryptophagidae,Chrysomelidae,Elateridae.1,Histeridae,Erebidae,Nictuidae,Crambidae,Geometridae,Caterpillars,Empididae,Cercopidae.1,Myrmeleontidae,Cicadellidae,Reduviidae,Kalotermitidae,Culusidae,Smulidae,Stratiomidae,Tephritidae,Diaprudae,Faniidae,Syrphidae,Eupelmidae,Bostrichidae,Phasmantidae
1,1,Guava,4,8,0,3,0,0,0,3,0,0,0,3,10,0,1,0,0,0,0,0,0,0,10,5,15,6,0,18,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,2,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Guava,2,53,0,6,1,0,0,2,0,0,0,0,14,0,1,1,0,0,1,0,0,0,5,3,0,3,0,0,17,17,0,0,0,0,0,3,0,0,3,0,0,0,13,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Guava,0,103,0,2,2,0,0,2,0,0,0,0,28,0,0,0,0,0,1,0,0,0,30,6,11,6,0,16,2,22,3,0,6,0,2,0,0,1,1,0,1,0,2,0,0,0,0,0,1,0,1,0,4,0,2,0,1,0,0,0,0,0,5,1,0,0,0,3,0,0,0,0
4,4,Guava,0,38,0,13,3,0,0,2,0,0,0,0,19,28,0,1,0,0,0,0,0,0,14,0,0,1,0,17,0,6,0,0,7,0,4,3,2,1,5,1,0,0,6,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0
5,5,Guava,1,58,9,10,0,0,0,6,1,0,0,0,73,0,0,0,0,0,1,0,0,1,15,0,0,4,0,8,0,12,0,0,6,0,0,0,5,0,16,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
6,6,Guava,1,39,0,0,2,0,0,7,0,0,0,0,14,61,1,1,0,0,0,0,2,2,17,3,0,2,0,13,0,19,0,0,2,0,1,0,0,0,8,0,0,0,3,1,0,0,1,0,3,0,0,0,0,0,2,0,3,0,0,0,0,0,0,6,0,0,6,0,0,0,1,0
7,7,Guava,1,32,0,3,0,0,0,6,0,0,0,0,31,56,0,0,0,0,0,0,0,2,7,5,0,1,0,8,0,15,0,0,2,0,1,3,5,0,6,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,6,1,0,0,0,0,0,2,0,0,0,10,0,0,3,0,0
8,8,Guava,0,5,2,3,1,0,0,1,0,0,0,0,3,59,0,0,0,0,0,0,1,4,17,3,0,3,0,42,0,0,0,0,0,0,0,4,0,0,6,0,0,1,0,1,0,0,0,0,2,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,No Guava,0,22,16,1,5,0,0,8,0,0,0,1,16,52,2,1,0,0,1,0,1,4,9,9,2,7,0,13,18,4,18,0,18,9,0,0,2,1,10,0,0,0,8,0,0,3,2,0,3,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,No Guava,0,68,0,0,0,0,0,5,0,0,0,0,23,36,0,0,0,0,0,0,0,1,24,0,0,1,0,12,0,18,0,0,6,0,3,4,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,8,1,1,12,0,0,0,0,0
11,3,No Guava,0,73,0,0,0,0,0,3,0,0,0,0,22,26,0,0,0,0,1,1,0,1,45,9,0,9,0,16,5,15,0,0,4,0,0,6,0,0,12,0,0,0,8,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,4,No Guava,0,64,0,0,3,0,0,2,0,1,0,0,15,32,0,0,1,0,0,0,0,1,23,16,4,6,0,21,0,27,0,3,8,0,2,0,4,1,0,1,0,0,0,0,5,0,1,2,7,0,1,12,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,5,No Guava,3,196,0,6,2,0,0,0,0,0,0,0,43,11,0,0,1,0,0,0,0,1,7,0,0,0,0,5,0,4,0,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
14,6,No Guava,0,49,0,0,0,0,0,2,0,0,0,0,5,53,0,0,0,0,2,0,0,0,12,2,0,4,0,16,0,22,0,0,2,0,3,3,3,0,6,0,0,0,5,0,0,0,0,0,1,0,0,3,0,0,0,6,2,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
15,7,No Guava,0,25,0,18,0,0,0,0,0,0,0,0,22,33,0,0,0,0,0,2,1,1,5,3,0,2,0,15,6,11,0,0,6,0,4,8,1,1,10,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,3,0,1,0,0,0
16,8,No Guava,0,25,0,1,1,0,0,1,0,0,0,2,8,66,5,0,0,1,1,0,0,4,8,6,0,9,3,11,1,1,11,0,0,0,3,7,0,0,13,0,0,0,8,0,3,63,2,0,5,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
