Site,Pair,Invasion_status,Foananasity,Apanga,Kalafambakaka,Ranjopody,Mazambory,Rohilambo,Fanikara,Rahiaka,Hazotoho,Rotra,Hazomby,Ramilevina,Kimbaletaka,Voanananala,Tavolo
Talatakely,1,Guava,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Talatakely,1,No Guava,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0
Talatakely,2,Guava,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Talatakely,2,No Guava,8,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Talatakely,3,Guava,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Talatakely,3,No Guava,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Talatakely,4,Guava,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Talatakely,4,No Guava,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vohiparara,5,Guava,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Vohiparara,5,No Guava,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0
Vohiparara,6,Guava,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Vohiparara,6,No Guava,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0
Vohiparara,7,Guava,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Vohiparara,7,No Guava,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vohiparara,8,Guava,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Vohiparara,8,No Guava,0,0,0,6,0,0,2,0,0,1,0,0,0,1,0
