Sample,Treatment,Pair,Araneae_other,Entomobryomorpha,Poduromorpha,Symphypleona,Formicidae,Isopoda,Amphipoda,Acari,Gryllidae,Forfuculidae,Achilidae,Blattidae,Phoridae,Sciaridae,Ceraphronidae,Miridae,Staphilinidae,Bostrichidae,Mymaridae,Tettrigidae,Diapriidae,Proctotrupidae,Empididae,Tupilidae,Dolichopodidae,Eupelmidae,Mycetophilidae,Cryptophagidae,Sphaeroceridae,Ichneumonidae,Muscidae,Pentatomidae,Carabidae,Cecidomyiidae,Scarabaeidae,Meinertellidae
G1,Guava,1,16,17,15,13,21,0,10,3,5,0,0,2,32,0,1,3,21,1,0,0,2,1,4,4,0,0,0,0,0,0,0,0,0,0,1,1
G2,Guava,2,3,0,0,0,2,2,5,0,3,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3,Guava,3,1,15,0,0,16,2,36,6,3,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
G4,Guava,4,3,0,0,2,17,3,8,0,1,0,0,0,2,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G5,Guava,5,3,15,15,14,48,0,0,1,1,0,0,0,15,5,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G6,Guava,6,3,0,0,0,13,0,16,0,5,0,0,2,6,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0
G7,Guava,7,3,3,0,0,15,0,4,0,2,0,0,2,4,2,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G8,Guava,8,1,1,0,5,5,1,0,0,7,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NG1,No Guava,1,7,12,7,7,8,0,0,7,3,2,0,2,17,3,0,1,6,0,1,1,0,0,2,3,1,0,0,0,0,0,1,1,0,3,0,0
NG2,No Guava,2,4,21,9,6,14,0,36,0,2,0,0,1,1,2,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NG3,No Guava,3,6,11,2,2,5,1,13,1,7,1,1,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NG4,No Guava,4,1,8,0,2,17,2,0,6,1,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
NG5,No Guava,5,5,11,2,6,5,0,0,0,9,0,0,1,12,0,2,2,5,0,3,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0
NG6,No Guava,6,4,1,0,0,19,0,0,0,3,0,0,1,1,1,0,7,8,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0
NG7,No Guava,7,1,7,0,0,12,1,5,0,3,0,0,1,6,0,0,0,12,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
NG8,No Guava,8,5,2,2,7,12,4,3,0,10,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
