Plot,Pair,Treatment,Salticidae,Staphylinidae,Entomobryomorpha,Poduromorpha,Symphypleona,Oribatida,Mesostigmata,Prostigmata,Formicidae,Amphipods,Cynipidae..hymenopt.asked.scott.to.ID.,Mymaridae..hymenoptera.,Meinertellidae..thysanura.,Typilidae,Mycetophilidae,Phoridae..dipt.,Sciaridae,Asteridae,Chrysomelidae..coleop.,Dolichpodidae..dip.,cecidomyidae..dip.,Empididae,Eupelmidae..hymenopt.,Kinnaridae..Himiptera.,Braconidae..hymenop.,Muscidae..dipt.,Tephritidae,Diopsidae..Dipt..stalk.eyed.flies.,Drosophilidae..dipt.,Faniidae..dipt.,Culicidae..dipt..mosquitos.,Psychodidae..dipt.,Gryllidae..orthoptera.,Sphaeroceridae..dipt.,Cicadellidae..orthopt.,Ceraphronidae..hymenopt.,Cixiidae..hemipt.,Ichneumonidae..hymenopt.,Scelionidae..hymenopt.,Reduviidae..Hemipt.,Diapriidae..hymenopt.,Tetrigidae..orthoptera.,Forficulidae..dermopt.,Staphynlinidae..coleopt.,Diptera.family.unknown,Anthocoridae
1,1,Guava,1,0,22,33,29,4,1,4,0,1,1,2,1,4,1,11,3,1,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Guava,0,0,28,37,21,3,0,0,4,0,0,1,0,0,2,21,5,0,0,3,0,0,0,0,0,6,0,0,1,7,0,8,1,3,1,0,0,0,0,0,0,0,0,0,0,0
3,3,Guava,0,0,25,83,25,12,0,0,1,0,1,0,0,2,1,10,2,0,0,4,0,0,0,1,0,6,0,0,2,0,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0
4,4,Guava,0,0,47,73,49,0,0,0,0,0,7,0,1,0,0,15,4,0,0,2,0,0,0,0,0,0,0,0,16,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0
5,5,Guava,0,0,25,126,102,1,0,0,0,0,4,1,0,2,0,7,6,0,0,7,0,0,0,0,0,1,0,0,0,2,0,2,1,0,1,0,0,0,1,1,2,0,0,0,0,0
6,6,Guava,0,0,18,39,10,1,0,0,1,0,3,3,0,2,0,11,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,3,0,1,0,0,0,0,0,0
7,7,Guava,0,0,9,11,11,2,0,3,0,1,1,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0
8,8,Guava,0,0,25,34,42,1,0,0,1,0,0,1,0,0,0,12,9,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,No Guava,0,0,15,22,21,1,1,0,0,0,2,1,0,3,0,10,6,0,3,9,3,1,1,0,0,12,0,3,1,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,No Guava,0,0,49,36,10,0,0,0,1,0,1,0,0,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11,3,No Guava,0,2,74,46,42,5,0,0,2,0,9,2,0,1,0,5,2,0,0,3,0,0,0,0,0,1,0,0,0,1,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0
12,4,No Guava,0,0,46,27,19,2,0,1,0,0,2,2,0,0,1,4,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5,No Guava,0,0,20,18,10,3,0,1,1,2,0,0,0,1,1,6,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6,No Guava,0,0,21,34,35,2,0,0,0,0,2,1,0,1,1,14,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0
15,7,No Guava,0,0,11,10,13,0,0,0,0,0,1,1,1,0,1,28,5,0,0,0,0,0,0,0,0,2,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0
16,8,No Guava,0,0,32,27,40,2,0,1,1,0,2,0,0,1,0,10,7,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,1,1
